model141,1,0.0406796,0.00035622,0.01,2.97666099
model142,1,0.02718997,0.00035622,0.01,3.58288484
model143,1,0.0183714,0.00035622,0.01,4.33114586
model144,1,0.01256398,0.00035622,0.01,5.26156398
model145,1,0.00870828,0.00035622,0.01,6.42798728
model146,1,0.00612536,0.00035622,0.01,7.90349277
model147,1,0.00437811,0.00035622,0.01,9.78836473
model148,1,0.00318364,0.00035622,0.01,12.22176624
model149,1,0.00235784,0.00035622,0.01,15.3989557
model150,1,0.0017801,0.00035622,0.01,19.59688275
model151,1,361.29288573,0.00048939,0.01,0.10683578
model152,1,225.20408163,0.00048939,0.01,0.12537823
model153,1,140.46524045,0.00048939,0.01,0.14717032
model154,1,87.67665818,0.00048939,0.01,0.17279332
model155,1,54.77421395,0.00048939,0.01,0.2029368
model156,1,34.25381297,0.00048939,0.01,0.23842046
model157,1,21.44649362,0.00048939,0.01,0.28022092
model158,1,13.44634807,0.00048939,0.01,0.32950467
model159,1,8.44409363,0.00048939,0.01,0.38766919
model160,1,5.31273662,0.00048939,0.01,0.45639432
model161,1,3.34991856,0.00048939,0.01,0.537707
model162,1,2.11765818,0.00048939,0.01,0.63406357
model163,1,1.34264615,0.00048939,0.01,0.74845515
model164,1,0.85419355,0.00048939,0.01,0.88454379
model165,1,0.54560008,0.00048939,0.01,1.04683988
model166,1,0.35009265,0.00048939,0.01,1.24093543
model167,1,0.22583153,0.00048939,0.01,1.47381366
model168,1,0.14656152,0.00048939,0.01,1.75426362
model169,1,0.09577897,0.00048939,0.01,2.09344086
model170,1,0.06308956,0.00048939,0.01,2.50563252
model171,1,0.04193195,0.00048939,0.01,3.00931157
model172,1,0.02815365,0.00048939,0.01,3.62860307
model173,1,0.01911884,0.00048939,0.01,4.39534277
model174,1,0.0131488,0.00048939,0.01,5.3519943
model175,1,0.00917029,0.00048939,0.01,6.55582135
model176,1,0.00649418,0.00048939,0.01,8.08490847
model177,1,0.00467586,0.00048939,0.01,10.04692655
model178,1,0.00342689,0.00048939,0.01,12.59200264
model179,1,0.00255907,0.00048939,0.01,15.93177046
model180,1,0.00194874,0.00048939,0.01,20.36778759
model181,1,361.84992427,0.00067234,0.01,0.10689086
model182,1,225.61071776,0.00067234,0.01,0.12545397
model183,1,140.76222942,0.00067234,0.01,0.14727451
model184,1,87.89369051,0.00067234,0.01,0.17293663
model185,1,54.93292253,0.00067234,0.01,0.20313399
model186,1,34.36996243,0.00067234,0.01,0.23869186
model187,1,21.53157446,0.00067234,0.01,0.28059456
model188,1,13.50873739,0.00067234,0.01,0.33001925
model189,1,8.48990035,0.00067234,0.01,0.38837819
model190,1,5.34641705,0.00067234,0.01,0.45737165
model191,1,3.3747246,0.00067234,0.01,0.53905498
model192,1,2.1359639,0.00067234,0.01,0.63592399
model193,1,1.3561856,0.00067234,0.01,0.75102478
model194,1,0.86423403,0.00067234,0.01,0.88809613
